code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002440,闰土股份,-5.379,10.73,11.17,11.2,10.7,11.34,20489122.0,2.21839,224824449.0,8.795,1.607,1234486.5,991024.68848
002439,启明星辰,0.821,29.49,28.57,31.9,28.2,29.25,28250963.0,4.5280000000000005,846884903.0,57.824,8.309,2644346.439063,1839929.808633
002438,江苏神通,-1.977,6.94,7.0,7.08,6.92,7.08,9233880.0,2.48567,64359270.0,53.591,1.897,337125.876264,257809.89253
002437,誉衡药业,9.955,4.86,4.43,4.86,4.27,4.42,193466550.0,8.92754,922619550.0,34.493,2.392,1068287.7537,1053199.17657
002436,兴森科技,1.068,5.68,5.5,6.14,5.36,5.62,75065007.0,6.26173,437266426.0,51.636,3.359,845131.462272,680912.360456
002435,长江润发,-6.497,6.62,6.94,7.03,6.61,7.08,13953912.0,4.62036,95976735.0,9.735,1.04,545480.50616,199930.055976
002434,万里扬,-5.444,6.6,6.9,6.94,6.55,6.98,16056293.0,1.57557,108388508.0,13.75,1.452,891000.0,672590.358
002433,太安堂,-6.199,5.75,6.03,6.12,5.75,6.13,19721438.0,2.67619,117162757.0,15.132,0.872,440894.59,423730.84
002432,九安医疗,-8.062,6.5,6.92,6.96,6.4,7.07,19684150.0,4.54803,132600444.0,-17.105,1.9689999999999999,281323.84865,281323.84865
002431,棕榈股份,-8.135,4.63,4.91,5.01,4.59,5.04,56606107.0,4.27167,274843977.0,22.048,1.258,688474.26335,613545.461192
002430,杭氧股份,-4.278,11.86,12.1,12.55,11.84,12.39,17542773.0,1.84698,213914156.0,28.927,2.245,1144020.079522,1126472.067404
002429,兆驰股份,1.22,3.32,3.19,3.6,3.09,3.28,210897710.0,5.30836,717856036.0,25.538,1.742,1502944.281524,1319013.303816
002428,云南锗业,-8.156,7.77,8.06,8.38,7.76,8.46,57091773.0,8.86313,460121079.0,777.0,3.4,507474.24,500503.864686
002427,*ST尤夫,4.997,15.13,14.32,15.13,13.88,14.41,7079377.0,1.8404500000000001,105276599.0,18.451,3.318,602407.997554,581983.051312
002426,胜利精密,-8.115,3.85,4.0,4.2,3.85,4.19,156832743.0,7.29443,626613005.0,28.497,1.461,1324984.321815,827762.833975
002425,凯撒文化,-3.183,7.3,7.45,7.76,7.16,7.54,28894707.0,3.59216,215233767.0,23.548000000000002,1.549,594033.43536,587198.59355
002424,贵州百灵,-5.561,10.19,10.59,10.7,10.15,10.79,14283092.0,1.96097,149403318.0,27.541,3.8970000000000002,1438012.8,742207.489272
002423,中原特钢,-10.023,11.94,12.48,12.53,11.94,13.27,23296932.0,4.63172,283122795.0,-23.284,3.982,2751102.05655,600565.972938
002422,科伦药业,-2.312,23.66,23.88,24.45,23.63,24.22,16163142.0,1.5702099999999999,388134705.0,45.5,2.694,3406542.0753,2435463.377438
002421,达实智能,-8.273,5.1,5.15,5.44,5.01,5.56,128913083.0,7.893,674066500.0,31.193,3.082,970101.20679,832962.1563
002420,毅昌股份,-9.982,4.87,4.87,5.15,4.87,5.41,36229134.0,9.24879,179746361.0,-4.092,2.5700000000000003,195287.0,190766.394254
002419,天虹股份,-5.008,11.95,12.46,12.62,11.95,12.58,14200389.0,1.18347,174747778.0,13.315,2.2640000000000002,1434358.5,1433875.704465
002418,康盛股份,-10.022,4.13,4.43,4.5,4.13,4.59,74056418.0,7.37902,318338150.0,22.944,2.123,469333.2,414490.217988
002417,深南股份,-9.023,8.57,9.15,9.27,8.51,9.42,12580936.0,5.48298,112736280.0,285.667,7.351,231390.0,196642.199694
002416,爱施德,-5.917,6.36,6.66,6.88,6.33,6.76,19857083.0,1.6926,131717782.0,17.33,1.538,788183.228616,746138.54952
002415,海康威视,-2.134,34.4,34.4,35.66,33.55,35.15,59965522.0,0.7426900000000001,2073729732.0,33.398,9.535,32158722.80264,27774957.43696
002414,高德红外,-0.568,26.24,26.0,27.2,25.09,26.39,10130337.0,2.12778,265838651.0,280.342,4.977,1638047.825344,1249283.629056
